"Plan_name","fund_family","fund_class","fund_type","investment_plan","asset_size","minimum_investment","last_divident","bonus","entry_load","exit_load","benchmark","launch_date","performance_returns_1_mth","performance_r16urns_3_mth","performance_returns_6_mth","performance_returns_1_year","performance_returns_2_year","performance_returns_3_year","performance_returns_5_year","performance_r15k_1_mth","performance_rank_3_mth","performance_rank_6_mth","performance_rank_1_year","performance_rank_2_year","performance_rank_3_year","performance_r14k_5_year","performance_absolute_returns_2017_Qtr1","performance_absolute_returns_2016_Qtr1","performance_absolute_returns_2015_Qtr1","performance_absolute_returns_2014_Qtr1","performance_absolute_returns_2013_Qtr1","performance_a13olute_returns_2017_Qtr2","performance_absolute_returns_2016_Qtr2","performance_absolute_returns_2015_Qtr2","performance_absolute_returns_2014_Qtr2","performance_absolute_returns_2013_Qtr2","performance_absolute_returns_2017_Qtr3","performance_a12olute_returns_2016_Qtr3","performance_absolute_returns_2015_Qtr3","performance_absolute_returns_2014_Qtr3","performance_absolute_returns_2013_Qtr3","performance_absolute_returns_2017_Qtr4","performance_absolute_returns_2016_Qtr4","performance_ab11lute_returns_2015_Qtr4","performance_absolute_returns_2014_Qtr4","performance_absolute_returns_2013_Qtr4","performance_absolute_returns_2017_annual","performance_absolute_returns_2016_annual","performance_absolute_returns_2015_annual","performance_ab10lute_returns_2014_annual","performance_absolute_returns_2013_annual","nav_52_week_high","nav_52_week_low","portfolio_equity_1","portfolio_equity_2","portfolio_equity_3","portfolio_equity_4","portfolio_equity_5","portfolio_equity_6","portfolio_equity_7","portfolio_equity_8","portfolio_equity_9","portfolio_equity_10","portfolio_sector_1","portfolio_sector_2","portfolio_sector_3","portfolio_sector_4","portfolio_sector_5","portfolio_sector_6","portfolio_sector_7","portfolio_sector_8","portfolio_sector_9","portfolio_sector_10","portfolio_value_1","portfolio_value_2","portfolio_value_3","portfolio_value_4","portfolio_value_5","portfolio_value_6","portfolio_value_7","portfolio_value_8","portfolio_value_9","portfolio_value_10","portfolio_asset_1","portfolio_asset_2","portfolio_asset_3","portfolio_asset_4","portfolio_asset_5","portfolio_asset_6","portfolio_asset_7","portfolio_asset_8","portfolio_asset_9","portfolio_asset_10","portfolio_asset_allocation_eqity","portfolio_asset_allocation_others","portfolio_asset_allocation_debt","portfolio_asset_allocation_mutual_funds","portfolio_asset_allocation_money_market","portfolio_asset_allocation_cash_call","portfolio_conc1tration_holding_top5","portfolio_concentration_holding_top10","portfolio_concentration_sector_top3","portfolio_sector_right_bottom_1","portfolio_sector_right_bottom_2","portfolio_sector_right_bottom_3","portfolio_sector_right_bottom_4","portfolio_sector_right_bottom_5","portfolio_sector_right_bottom_6","portfolio_sector_percentage_right_bottom_1","portfolio_sector_percentage_right_bottom_2","portfolio_sector_percentage_right_bottom_3","portfolio_sector_percentage_right_bottom_4","portfolio_sector_percentage_right_bottom_5","portfolio_sector_percentage_right_bottom_6","portfolio_sector_high_right_bottom_1","portfolio_sector_high_right_bottom_2","portfolio_sector_high_right_bottom_3","portfolio_sector_high_right_bottom_4","portfolio_sector_high_right_bottom_5","portfolio_sector_high_right_bottom_6","portfolio_sector_low_right_bottom_1","portfolio_sector_low_right_bottom_2","portfolio_sector_low_right_bottom_3","portfolio_sector_low_right_bottom_4","portfolio_sector_low_right_bottom_5","portfolio_sector_low_right_bottom_6","asset_size_1date","asset_size_1value","asset_size_2date","asset_size_2value","asset_size_3date","asset_size_3value","asset_size_4date","asset_size_4value","asset_size_5date","asset_size_5value","asset_size_6date","asset_size_6value","asset_size_7date","asset_size_7value","asset_size_8date","asset_size_8value","asset_size_9date","asset_size_9value","asset_size_10date","asset_size_10value","asset_size_11date","asset_size_11value","asset_size_12date","asset_size_12value","asset_size_13date","asset_size_13value","asset_size_14date","asset_size_14value","asset_size_15date","asset_size_15value","asset_size_16date","asset_size_16value","asset_size_17date","asset_size_17value","asset_size_18date","asset_size_18value","asset_size_19date","asset_size_19value","asset_size_20date","asset_size_20value","riskometer.x"
"UTI Equity Fund - Direct Plan (G) ","UTI Mutual Fund","Large Cap","Open-Ended","Growth","5,062.5 Nov-30-2017",5000,"N.A.","N.A.","N.A.","1.00%","BSE 100","Jan 01, 2013","4.5","5.7","9.6","29.1","20.1","10.1","16.5","28","72","50","69","102","84","43","13.8","-3.6","3.9","6.6","-6.8","3.1","8.2","-2.3","18.6","3.1","2.0","4.9","-2.1","8.0","-1.6","7.4","-9.6","-1.0","7.9","10.8","31.0","1.2","1.2","47.3","6.7","135.98 (Jan 11, 18)","105.07 (Jan 20, 17)","HDFC Bank","IndusInd Bank","Yes Bank","Infosys","ITC","TCS","Kotak Mahindra","Shree Cements","Bajaj Finance","Bajaj Finserv","Banking/Finance","Banking/Finance","Banking/Finance","Technology","Tobacco","Technology","Banking/Finance","Cement","Banking/Finance","Banking/Finance","293.94","269.24","249.68","225.43","182.88","181.64","177.68","169.07","167.18","166.59","5.81","5.32","4.93","4.45","3.61","3.59","3.51","3.34","3.30","3.29",97.59,0,0.24,"N.A",0,2.22,"24.12","41.15","55.80","Banking/Finance","Pharmaceuticals","Technology","Automotive","Miscellaneous","Engineering","31.31","12.57","11.92","10.50","5.10","4.38","32.15","12.10","11.84","11.45","2.49","5.56","32.15","12.10","11.84","11.45","2.49","5.56","Dec-17","430.8","Sep-17","519.2","Jun-17","669.1","Mar-17","679.9","Dec-16","700.5","Sep-16","746.6","Jun-16","673.6","Mar-16","1,188.9","Dec-15","596.9","Sep-15","454.9","Jun-15","352.2","Mar-15","251.5","Dec-14","158.1","Sep-14","103.0","Jun-14","55.8","Mar-14","31.9","Dec-13","16.1","Sep-13","12.8","Jun-13","3.7","Mar-13","0.7","HIGH"
"UTI Equity Fund (G) ","UTI Mutual Fund","Large Cap","Open-Ended","Growth","5,062.5 Nov-30-2017",5000,"N.A.","N.A.","N.A.","1.00%","BSE 100","May 18, 1992","3.9","6.3","10.2","27.9","20.7","9.7","16.0","23","77","70","76","117","91","50","13.7","-3.7","3.8","6.5","-6.4","3.0","8.1","-2.4","18.5","3.0","1.9","4.8","-2.2","8.0","-1.6","7.3","-9.7","-1.1","7.8","10.7","30.4","0.7","0.8","46.8","7.0","133.44 (Jan 11, 18)","103.58 (Jan 20, 17)","HDFC Bank","IndusInd Bank","Yes Bank","Infosys","ITC","TCS","Kotak Mahindra","Shree Cements","Bajaj Finance","Bajaj Finserv","Banking/Finance","Banking/Finance","Banking/Finance","Technology","Tobacco","Technology","Banking/Finance","Cement","Banking/Finance","Banking/Finance","293.94","269.24","249.68","225.43","182.88","181.64","177.68","169.07","167.18","166.59","5.81","5.32","4.93","4.45","3.61","3.59","3.51","3.34","3.30","3.29",97.59,0,0.24,"N.A",0,2.22,"24.12","41.15","55.80","Banking/Finance","Pharmaceuticals","Technology","Automotive","Miscellaneous","Engineering","31.31","12.57","11.92","10.50","5.10","4.38","32.15","12.10","11.84","11.45","2.49","5.56","32.15","12.10","11.84","11.45","2.49","5.56","Dec-17","4,703.8","Sep-17","4,684.2","Jun-17","4,638.7","Mar-17","4,443.4","Dec-16","4,327.0","Sep-16","4,564.6","Jun-16","4,208.5","Mar-16","4,960.5","Dec-15","4,045.9","Sep-15","3,937.1","Jun-15","3,843.7","Mar-15","3,919.1","Dec-14","3,622.4","Sep-14","3,275.6","Jun-14","2,848.1","Mar-14","2,446.1","Dec-13","2,369.8","Sep-13","2,213.0","Jun-13","2,265.6","Mar-13","2,312.5","HIGH"
"UTI Fixed Term Income Fund - Series XXVI - IV (1133 Days) (G) ","UTI Mutual Fund","Fixed Maturity / Interval Plans","Close-Ended","Growth","0.0 ",5000,"N.A.","N.A.","N.A.","N.A.","","Feb 28, 2017","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.00 ()","0.00 ()","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","MODERATE"
"UTI Fixed Term Income Fund - Series XXVI - IV (1133 Days) Direct (G) ","UTI Mutual Fund","Fixed Maturity / Interval Plans","Close-Ended","Growth","0.0 ",5000,"N.A.","N.A.","N.A.","N.A.","","Feb 28, 2017","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.00 ()","0.00 ()","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","MODERATE"
"UTI Floating Rate Fund - Short Term Plan - Direct Plan (G) ","UTI Mutual Fund","Ultra Short Term Debt","Open-Ended","Growth","7,757.6 Nov-30-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","0.5","1.5","3.2","7.1","8.4","8.6","9.1","28","38","40","41","29","25","7","1.9","2.3","2.3","2.2","2.1","1.7","2.0","2.1","2.3","2.4","1.8","2.5","2.3","2.1","2.7","1.4","1.9","1.9","2.3","2.4","7.2","9.4","9.1","9.4","10.3","2,868.13 (Jan 17, 18)","2,678.50 (Jan 18, 17)","NCDR SHRIRAM TRANSPORT FINANCE CO.LTD.","NCD ECL FINANCE LTD.","NCD Capital First","NCD INDIABULLS HOUSING FINANCE LTD.","NCD VEDANTA LTD","NCD BUSINESS BROADCAST NEWS HOLDINGS LTD","NCD ECL FINANCE LTD.","NCD PNB Housing Finance","NCD SHRIRAM TRANSPORT FINANCE CO.LTD.","DDB Dewan Housing Finance Corporation","FITCH-AA+","ICRA-AA","CARE-AA+","CARE-AAA","CRISIL-AA","CARE-AA+(SO)","ICRA-AA","CARE-AAA","CRISIL-AA+","CARE-AAA","250.40","201.66","201.17","176.24","165.17","159.38","155.82","151.01","151.07","148.17","3.23","2.60","2.59","2.27","2.13","2.05","2.01","1.95","1.95","1.91",0,0,49.14,"N.A",32.77,18.08,"12.82","22.69","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","3,338.0","Sep-17","3,330.0","Jun-17","3,437.8","Mar-17","2,963.7","Dec-16","3,324.0","Sep-16","2,642.7","Jun-16","2,168.3","Mar-16","8,722.5","Dec-15","3,526.9","Sep-15","3,294.8","Jun-15","2,052.7","Mar-15","1,352.2","Dec-14","2,411.6","Sep-14","2,373.8","Jun-14","2,216.4","Mar-14","2,317.5","Dec-13","2,262.2","Sep-13","1,589.4","Jun-13","9,070.3","Mar-13","1,008.9","MODERATELY LOW"
"UTI Floating Rate Fund - Short Term Plan - Institutional Plan (G) ","UTI Mutual Fund","Ultra Short Term Debt","Open-Ended","Growth","7,757.6 Nov-30-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Jul 13, 2009","0.4","1.4","3.1","6.8","8.0","8.2","8.6","47","58","59","66","53","62","56","1.8","2.2","2.1","2.1","2.0","1.6","1.9","1.9","2.1","2.3","1.7","2.4","2.1","2.0","2.5","1.3","1.8","1.8","2.1","2.3","6.9","9.1","8.5","8.8","9.7","1,972.00 (Jan 17, 18)","1,846.78 (Jan 18, 17)","NCDR SHRIRAM TRANSPORT FINANCE CO.LTD.","NCD ECL FINANCE LTD.","NCD Capital First","NCD INDIABULLS HOUSING FINANCE LTD.","NCD VEDANTA LTD","NCD BUSINESS BROADCAST NEWS HOLDINGS LTD","NCD ECL FINANCE LTD.","NCD PNB Housing Finance","NCD SHRIRAM TRANSPORT FINANCE CO.LTD.","DDB Dewan Housing Finance Corporation","FITCH-AA+","ICRA-AA","CARE-AA+","CARE-AAA","CRISIL-AA","CARE-AA+(SO)","ICRA-AA","CARE-AAA","CRISIL-AA+","CARE-AAA","250.40","201.66","201.17","176.24","165.17","159.38","155.82","151.01","151.07","148.17","3.23","2.60","2.59","2.27","2.13","2.05","2.01","1.95","1.95","1.91",0,0,49.14,"N.A",32.77,18.08,"12.82","22.69","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","8.6","Sep-17","8.4","Jun-17","8.3","Mar-17","8.1","Dec-16","8.0","Sep-16","7.8","Jun-16","7.6","Mar-16","14.9","Dec-15","7.3","Sep-15","7.2","Jun-15","7.8","Mar-15","7.7","Dec-14","11.0","Sep-14","11.1","Jun-14","11.5","Mar-14","15.5","Dec-13","16.7","Sep-13","52.4","Jun-13","66.6","Mar-13","104.2","MODERATELY LOW"
"UTI Floating Rate Fund - Short Term Plan - Retail Plan (G) ","UTI Mutual Fund","Ultra Short Term Debt","Open-Ended","Growth","7,757.6 Nov-30-2017",5000,"Rs.0.76 (Nov-04-2010)","N.A.","N.A.","N.A.","","Aug 29, 2003","0.4","1.3","2.9","6.4","7.7","8.0","8.5","95","100","127","117","98","88","67","1.8","2.2","2.2","2.1","2.0","1.5","1.9","2.0","2.1","2.3","1.6","2.3","2.1","2.0","2.5","1.2","1.8","1.8","2.1","2.3","6.5","8.8","8.5","8.8","9.7","2,786.85 (Jan 17, 18)","2,619.30 (Jan 18, 17)","NCDR SHRIRAM TRANSPORT FINANCE CO.LTD.","NCD ECL FINANCE LTD.","NCD Capital First","NCD INDIABULLS HOUSING FINANCE LTD.","NCD VEDANTA LTD","NCD BUSINESS BROADCAST NEWS HOLDINGS LTD","NCD ECL FINANCE LTD.","NCD PNB Housing Finance","NCD SHRIRAM TRANSPORT FINANCE CO.LTD.","DDB Dewan Housing Finance Corporation","FITCH-AA+","ICRA-AA","CARE-AA+","CARE-AAA","CRISIL-AA","CARE-AA+(SO)","ICRA-AA","CARE-AAA","CRISIL-AA+","CARE-AAA","250.40","201.66","201.17","176.24","165.17","159.38","155.82","151.01","151.07","148.17","3.23","2.60","2.59","2.27","2.13","2.05","2.01","1.95","1.95","1.91",0,0,49.14,"N.A",32.77,18.08,"12.82","22.69","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","3,804.7","Sep-17","3,739.0","Jun-17","3,367.6","Mar-17","3,135.7","Dec-16","3,038.6","Sep-16","2,966.3","Jun-16","2,407.4","Mar-16","1,932.0","Dec-15","1,738.6","Sep-15","1,736.1","Jun-15","1,548.7","Mar-15","1,524.7","Dec-14","1,579.6","Sep-14","1,700.1","Jun-14","1,585.1","Mar-14","1,369.4","Dec-13","1,109.2","Sep-13","879.7","Jun-13","1,217.8","Mar-13","1,273.9","MODERATELY LOW"
"UTI G-Sec Fund - Short Term Plan - Direct Plan (G) ","UTI Mutual Fund","Gilt Short Term","Open-Ended","Growth","25.8 Nov-30-2017",1000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","0.1","0.6","2.1","5.0","7.0","7.3","7.8","11","15","16","22","23","18","12","0.9","1.5","2.3","1.9","1.2","1.6","1.8","1.8","2.0","1.4","1.6","2.9","2.3","2.1","2.7","0.7","2.1","1.5","2.1","2.2","5.0","9.1","8.1","8.5","7.9","24.19 (Jan 17, 18)","22.95 (Feb 09, 17)","GSEC RESERVE BANK OF INDIAMATURING 09/06/2020","-","-","-","-","-","-","-","-","-","SOV","-","-","-","-","-","-","-","-","-","20.74","-","-","-","-","-","-","-","-","-","80.46","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",80.46,19.54,"80.46","80.46","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","11.2","Sep-17","12.1","Jun-17","16.5","Mar-17","10.9","Dec-16","10.5","Sep-16","7.2","Jun-16","7.0","Mar-16","13.2","Dec-15","16.3","Sep-15","23.6","Jun-15","15.8","Mar-15","10.1","Dec-14","7.0","Sep-14","7.4","Jun-14","3.7","Mar-14","3.6","Dec-13","3.5","Sep-13","3.2","Jun-13","3.1","Mar-13","0.9","MODERATELY LOW"
"UTI G-Sec Fund - Short Term Plan (G) ","UTI Mutual Fund","Gilt Short Term","Open-Ended","Growth","25.8 Nov-30-2017",1000,"N.A.","N.A.","N.A.","N.A.","","Dec 09, 2003","0.1","0.6","2.1","4.8","6.9","7.2","7.7","12","16","17","24","25","19","14","0.9","1.4","2.3","1.9","2.0","1.6","1.8","1.8","2.0","1.4","1.6","2.8","2.3","2.1","2.6","0.7","2.0","1.5","2.1","2.1","4.8","8.9","8.1","8.4","8.7","24.04 (Jan 17, 18)","22.85 (Feb 09, 17)","GSEC RESERVE BANK OF INDIAMATURING 09/06/2020","-","-","-","-","-","-","-","-","-","SOV","-","-","-","-","-","-","-","-","-","20.74","-","-","-","-","-","-","-","-","-","80.46","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",80.46,19.54,"80.46","80.46","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","11.7","Sep-17","10.2","Jun-17","9.9","Mar-17","9.9","Dec-16","9.6","Sep-16","9.6","Jun-16","8.9","Mar-16","9.4","Dec-15","11.8","Sep-15","12.1","Jun-15","8.7","Mar-15","8.7","Dec-14","8.6","Sep-14","10.4","Jun-14","10.8","Mar-14","10.8","Dec-13","11.1","Sep-13","10.3","Jun-13","11.7","Mar-13","13.1","MODERATELY LOW"
"UTI Gilt Advantage Fund - Long Term Plan - Direct Plan (G)  ","UTI Mutual Fund","Gilt Long Term","Open-Ended","Growth","742.5 Nov-30-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","-1.1","-1.8","-1.9","2.7","10.2","8.0","9.5","58","47","48","34","13","26","16","1.1","0.9","3.2","1.9","1.8","3.3","2.7","-1.3","5.5","4.4","1.0","6.5","4.6","1.8","-2.8","-1.9","4.0","-0.5","9.4","-0.4","3.2","15.7","6.5","20.2","3.3","39.11 (Sep 06, 17)","36.52 (Feb 22, 17)","GSEC RESERVE BANK OF INDIAMATURING 15/05/2027","GSEC RESERVE BANK OF INDIAMATURING 09/05/2030","GSEC RESERVE BANK OF INDIAMATURING 24/11/2026","GSEC RESERVE BANK OF INDIAMATURING 17/09/2031","GSEC RESERVE BANK OF INDIAMATURING 22/06/2024","GSEC RESERVE BANK OF INDIAMATURING 09/07/2026","GSEC RESERVE BANK OF INDIAMATURING 22/03/2023","-","-","-","SOV","SOV","SOV","SOV","SOV","SOV","SOV","-","-","-","245.41","177.98","121.41","67.36","50.74","26.64","10.13","-","-","-","33.05","23.97","16.35","9.07","6.83","3.59","1.36","-","-","-",0,0,0,"N.A",94.22,5.77,"82.44","94.22","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","312.7","Sep-17","287.9","Jun-17","232.2","Mar-17","201.8","Dec-16","139.5","Sep-16","133.4","Jun-16","141.2","Mar-16","430.1","Dec-15","326.0","Sep-15","354.9","Jun-15","331.4","Mar-15","99.7","Dec-14","31.5","Sep-14","14.0","Jun-14","36.2","Mar-14","13.0","Dec-13","4.3","Sep-13","28.8","Jun-13","69.5","Mar-13","7.9","MODERATE"
"UTI Gilt Advantage Fund - Long Term Plan (G)  ","UTI Mutual Fund","Gilt Long Term","Open-Ended","Growth","742.5 Nov-30-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 28, 2002","-1.1","-1.9","-2.0","2.4","9.9","7.7","9.2","64","55","58","36","26","37","23","1.0","0.8","3.2","1.9","2.0","3.2","2.6","-1.4","5.4","4.3","1.0","6.4","4.6","1.8","-2.9","-1.9","3.9","-0.6","9.3","-0.5","3.0","15.3","6.2","20.0","3.2","38.60 (Sep 06, 17)","36.08 (Feb 22, 17)","GSEC RESERVE BANK OF INDIAMATURING 15/05/2027","GSEC RESERVE BANK OF INDIAMATURING 09/05/2030","GSEC RESERVE BANK OF INDIAMATURING 24/11/2026","GSEC RESERVE BANK OF INDIAMATURING 17/09/2031","GSEC RESERVE BANK OF INDIAMATURING 22/06/2024","GSEC RESERVE BANK OF INDIAMATURING 09/07/2026","GSEC RESERVE BANK OF INDIAMATURING 22/03/2023","-","-","-","SOV","SOV","SOV","SOV","SOV","SOV","SOV","-","-","-","245.41","177.98","121.41","67.36","50.74","26.64","10.13","-","-","-","33.05","23.97","16.35","9.07","6.83","3.59","1.36","-","-","-",0,0,0,"N.A",94.22,5.77,"82.44","94.22","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","405.9","Sep-17","348.4","Jun-17","243.6","Mar-17","232.6","Dec-16","253.4","Sep-16","282.3","Jun-16","301.6","Mar-16","328.3","Dec-15","359.7","Sep-15","330.8","Jun-15","321.5","Mar-15","256.1","Dec-14","135.5","Sep-14","138.0","Jun-14","146.1","Mar-14","158.3","Dec-13","152.4","Sep-13","161.2","Jun-13","165.9","Mar-13","169.9","MODERATE"
"UTI Gilt Advantage Fund - LTP- PF (G)  ","UTI Mutual Fund","Gilt Long Term","Open-Ended","Growth","742.5 Nov-30-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Sep 26, 2003","-1.1","-1.9","-2.0","2.4","9.9","7.7","9.2","64","55","58","36","26","37","23","1.0","0.8","3.2","1.9","2.0","3.2","2.6","-1.4","5.4","4.3","1.0","6.4","4.6","1.8","-2.9","-1.9","3.9","-0.6","9.3","-0.5","3.0","15.3","6.2","20.0","3.2","28.70 (Sep 06, 17)","26.83 (Feb 22, 17)","GSEC RESERVE BANK OF INDIAMATURING 15/05/2027","GSEC RESERVE BANK OF INDIAMATURING 09/05/2030","GSEC RESERVE BANK OF INDIAMATURING 24/11/2026","GSEC RESERVE BANK OF INDIAMATURING 17/09/2031","GSEC RESERVE BANK OF INDIAMATURING 22/06/2024","GSEC RESERVE BANK OF INDIAMATURING 09/07/2026","GSEC RESERVE BANK OF INDIAMATURING 22/03/2023","-","-","-","SOV","SOV","SOV","SOV","SOV","SOV","SOV","-","-","-","245.41","177.98","121.41","67.36","50.74","26.64","10.13","-","-","-","33.05","23.97","16.35","9.07","6.83","3.59","1.36","-","-","-",0,0,0,"N.A",94.22,5.77,"82.44","94.22","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","23.0","Sep-17","23.7","Jun-17","23.2","Mar-17","22.7","Dec-16","24.1","Sep-16","23.2","Jun-16","22.0","Mar-16","21.5","Dec-15","21.9","Sep-15","21.7","Jun-15","22.5","Mar-15","23.1","Dec-14","24.6","Sep-14","24.0","Jun-14","23.8","Mar-14","23.4","Dec-13","24.2","Sep-13","29.5","Jun-13","36.7","Mar-13","36.3","MODERATE"
"UTI Gilt Advantage Fund - LTP - PF (PDAR) (G)  ","UTI Mutual Fund","Gilt Long Term","Open-Ended","Growth","0.0 May-31-2011",5000,"N.A.","N.A.","N.A.","N.A.","","Sep 26, 2003","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-0.1","0.5","-14.2","-1.1","-0.1","-","1.4","1.9","-0.4","1.0","-","0.7","-1.2","4.5","1.3","-","2.0","1.3","28.9","2.9","-0.1","4.6","-11.6","32.8","5.6","0.00 ()","14.80 (Jan 06, 11)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA
"UTI Gold Exchange Traded Fund  ","UTI Mutual Fund","Gold ETF","Open-Ended","Dividend","432.4 Nov-30-2017",20000,"N.A.","N.A.","N.A.","N.A.","","Mar 12, 2007","5.1","1.6","6.2","0.9","5.8","1.6","-1.4","3","1","1","5","2","1","4","2.2","16.2","-3.5","4.6","-2.8","-0.8","8.6","1.2","1.2","-15.8","5.2","-1.6","-1.2","-7.0","16.0","-0.7","-10.5","-4.0","1.8","-10.7","3.1","11.0","-8.2","1.0","-14.1","2,762.24 (Sep 08, 17)","2,513.34 (Jul 10, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,99.93,0,"N.A",0,0.07,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","370.4","Sep-17","381.9","Jun-17","391.5","Mar-17","404.9","Dec-16","425.5","Sep-16","481.6","Jun-16","477.6","Mar-16","470.5","Dec-15","446.3","Sep-15","459.9","Jun-15","487.4","Mar-15","501.6","Dec-14","506.6","Sep-14","538.9","Jun-14","558.2","Mar-14","606.5","Dec-13","605.0","Sep-13","661.9","Jun-13","648.9","Mar-13","724.2","N.A"
"UTI Income Opportunities Fund - Direct Plan (G) ","UTI Mutual Fund","Credit Opportunities Funds","Open-Ended","Growth","4,077.7 Nov-30-2017",5000,"N.A.","N.A.","N.A.","1.00%","","Jan 01, 2013","0.4","1.2","3.2","7.6","9.8","9.7","10.2","13","11","13","18","9","7","2","2.1","2.4","2.7","2.9","2.4","2.1","2.3","1.8","3.3","2.9","2.1","3.5","2.8","2.4","-0.1","1.1","2.3","2.0","3.4","3.2","7.9","11.5","10.0","12.8","9.0","16.61 (Jan 17, 18)","15.44 (Feb 09, 17)","NCD BHARAT ALUMINIUM COMPANY LTD","NCD YES BANK LTD.","NCD VARUN BEVERAGES LTD","NCD PIRAMAL ENTERPRISES LTD.","NCD WELSPUN RENEWABLES ENERGY PRIVATE LIMITED","NCD EDELWEISS COMMODITIES SERVICES LTD","NCD NIRMA LTD.","NCD PIRAMAL ENTERPRISES LTD.","NCD DALMIA CEMENT (BHARAT) LTD","NCD AMBA RIVER COKE LTD","ICRA-AA-","CARE-AA","CRISIL-AA-","ICRA-AA","CARE-AA(SO)","ICRA-AA","CRISIL-AA-","ICRA-AA","ICRA-AA","CARE-AA-","188.32","145.42","140.22","109.63","103.61","100.10","98.75","97.11","95.31","94.22","4.62","3.57","3.44","2.69","2.54","2.45","2.42","2.38","2.34","2.31",0,0,85.36,"N.A",4.2,10.44,"16.86","28.76","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","883.2","Sep-17","660.1","Jun-17","530.7","Mar-17","391.0","Dec-16","353.0","Sep-16","243.1","Jun-16","125.6","Mar-16","394.1","Dec-15","209.1","Sep-15","216.2","Jun-15","183.0","Mar-15","82.4","Dec-14","12.8","Sep-14","9.8","Jun-14","5.9","Mar-14","5.1","Dec-13","4.7","Sep-13","4.6","Jun-13","6.1","Mar-13","0.8","MODERATE"
