"Plan_name","fund_family","fund_class","fund_type","investment_plan","asset_size","minimum_investment","last_divident","bonus","entry_load","exit_load","benchmark","launch_date","performance_returns_1_mth","performance_r16urns_3_mth","performance_returns_6_mth","performance_returns_1_year","performance_returns_2_year","performance_returns_3_year","performance_returns_5_year","performance_r15k_1_mth","performance_rank_3_mth","performance_rank_6_mth","performance_rank_1_year","performance_rank_2_year","performance_rank_3_year","performance_r14k_5_year","performance_absolute_returns_2017_Qtr1","performance_absolute_returns_2016_Qtr1","performance_absolute_returns_2015_Qtr1","performance_absolute_returns_2014_Qtr1","performance_absolute_returns_2013_Qtr1","performance_a13olute_returns_2017_Qtr2","performance_absolute_returns_2016_Qtr2","performance_absolute_returns_2015_Qtr2","performance_absolute_returns_2014_Qtr2","performance_absolute_returns_2013_Qtr2","performance_absolute_returns_2017_Qtr3","performance_a12olute_returns_2016_Qtr3","performance_absolute_returns_2015_Qtr3","performance_absolute_returns_2014_Qtr3","performance_absolute_returns_2013_Qtr3","performance_absolute_returns_2017_Qtr4","performance_absolute_returns_2016_Qtr4","performance_ab11lute_returns_2015_Qtr4","performance_absolute_returns_2014_Qtr4","performance_absolute_returns_2013_Qtr4","performance_absolute_returns_2017_annual","performance_absolute_returns_2016_annual","performance_absolute_returns_2015_annual","performance_ab10lute_returns_2014_annual","performance_absolute_returns_2013_annual","nav_52_week_high","nav_52_week_low","portfolio_equity_1","portfolio_equity_2","portfolio_equity_3","portfolio_equity_4","portfolio_equity_5","portfolio_equity_6","portfolio_equity_7","portfolio_equity_8","portfolio_equity_9","portfolio_equity_10","portfolio_sector_1","portfolio_sector_2","portfolio_sector_3","portfolio_sector_4","portfolio_sector_5","portfolio_sector_6","portfolio_sector_7","portfolio_sector_8","portfolio_sector_9","portfolio_sector_10","portfolio_value_1","portfolio_value_2","portfolio_value_3","portfolio_value_4","portfolio_value_5","portfolio_value_6","portfolio_value_7","portfolio_value_8","portfolio_value_9","portfolio_value_10","portfolio_asset_1","portfolio_asset_2","portfolio_asset_3","portfolio_asset_4","portfolio_asset_5","portfolio_asset_6","portfolio_asset_7","portfolio_asset_8","portfolio_asset_9","portfolio_asset_10","portfolio_asset_allocation_eqity","portfolio_asset_allocation_others","portfolio_asset_allocation_debt","portfolio_asset_allocation_mutual_funds","portfolio_asset_allocation_money_market","portfolio_asset_allocation_cash_call","portfolio_conc1tration_holding_top5","portfolio_concentration_holding_top10","portfolio_concentration_sector_top3","portfolio_sector_right_bottom_1","portfolio_sector_right_bottom_2","portfolio_sector_right_bottom_3","portfolio_sector_right_bottom_4","portfolio_sector_right_bottom_5","portfolio_sector_right_bottom_6","portfolio_sector_percentage_right_bottom_1","portfolio_sector_percentage_right_bottom_2","portfolio_sector_percentage_right_bottom_3","portfolio_sector_percentage_right_bottom_4","portfolio_sector_percentage_right_bottom_5","portfolio_sector_percentage_right_bottom_6","portfolio_sector_high_right_bottom_1","portfolio_sector_high_right_bottom_2","portfolio_sector_high_right_bottom_3","portfolio_sector_high_right_bottom_4","portfolio_sector_high_right_bottom_5","portfolio_sector_high_right_bottom_6","portfolio_sector_low_right_bottom_1","portfolio_sector_low_right_bottom_2","portfolio_sector_low_right_bottom_3","portfolio_sector_low_right_bottom_4","portfolio_sector_low_right_bottom_5","portfolio_sector_low_right_bottom_6","asset_size_1date","asset_size_1value","asset_size_2date","asset_size_2value","asset_size_3date","asset_size_3value","asset_size_4date","asset_size_4value","asset_size_5date","asset_size_5value","asset_size_6date","asset_size_6value","asset_size_7date","asset_size_7value","asset_size_8date","asset_size_8value","asset_size_9date","asset_size_9value","asset_size_10date","asset_size_10value","asset_size_11date","asset_size_11value","asset_size_12date","asset_size_12value","asset_size_13date","asset_size_13value","asset_size_14date","asset_size_14value","asset_size_15date","asset_size_15value","asset_size_16date","asset_size_16value","asset_size_17date","asset_size_17value","asset_size_18date","asset_size_18value","asset_size_19date","asset_size_19value","asset_size_20date","asset_size_20value","riskometer.x","riskometer.y","riskometer"
"ICICI Prudential Nifty Next 50 Index Fund - Growth ","ICICI Prudential Mutual Fund","Index","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","0.25%","S&P CNX Nifty","Jun 21, 2010","2.8","7.4","13.1","35.9","31.5","17.7","20.1","5","10","6","5","8","4","3","17.2","-6.4","3.3","3.8","-9.8","4.3","9.3","0.4","21.6","2.5","3.7","10.2","-1.9","3.1","-5.6","11.0","-8.8","1.1","10.0","14.3","44.4","6.6","5.9","43.0","4.2","28.01 (Jan 09, 18)","19.85 (Jan 20, 17)","Titan Company","Bajaj Finserv","Motherson Sumi","JSW Steel","Britannia","Godrej Consumer","Piramal Enter","Shree Cements","Shriram Trans","Dabur India","Miscellaneous","Banking/Finance","Automotive","Metals & Mining","Food & Beverage","Cons NonDurable","Pharmaceuticals","Cement","Banking/Finance","Cons NonDurable","2.71","2.40","2.24","2.13","2.10","1.91","1.80","1.67","1.63","1.50","4.68","4.14","3.86","3.67","3.62","3.29","3.11","2.88","2.81","2.58",97.85,0,0,"N.A",0,2.15,"19.97","34.64","38.57","Banking/Finance","Cons NonDurable","Automotive","Engineering","Metals & Mining","Pharmaceuticals","17.95","12.20","8.42","7.40","7.36","7.32","18.18","11.47","4.71","5.84","11.62","8.96","18.18","11.47","4.71","5.84","11.62","8.96","Dec-17","58.0","Sep-17","45.7","Jun-17","38.3","Mar-17","33.5","Dec-16","27.9","Sep-16","20.9","Jun-16","16.4","Mar-16","137.5","Dec-15","17.3","Sep-15","17.3","Jun-15","21.2","Mar-15","23.6","Dec-14","22.3","Sep-14","23.0","Jun-14","14.6","Mar-14","5.4","Dec-13","5.1","Sep-13","5.1","Jun-13","4.9","Mar-13","5.0","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Regular Gold Savings Fund - Direct Plan (G) ","ICICI Prudential Mutual Fund","Fund of Funds - Commodity oriented","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","2.00%","","Jan 01, 2013","5.0","-1.1","6.5","-1.5","5.9","1.7","-1.6","9","19","9","20","7","3","3","2.1","12.2","-1.8","-","-4.6","-2.8","6.5","-1.1","-3.0","-15.0","3.2","5.5","-1.6","-4.2","13.8","-2.0","-9.8","-0.9","-1.2","-3.5","0.5","11.3","-4.4","-8.7","-6.2","10.63 (Jan 23, 17)","9.62 (Aug 07, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"99.97",0,0.03,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","5.1","Sep-17","4.7","Jun-17","4.4","Mar-17","4.4","Dec-16","4.3","Sep-16","4.0","Jun-16","3.7","Mar-16","3.5","Dec-15","3.4","Sep-15","3.2","Jun-15","3.0","Mar-15","2.7","Dec-14","2.5","Sep-14","2.3","Jun-14","2.2","Mar-14","2.1","Dec-13","2.1","Sep-13","1.8","Jun-13","1.3","Mar-13","0.5","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Regular Gold Savings Fund (G) ","ICICI Prudential Mutual Fund","Fund of Funds - Commodity oriented","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","2.00%","","Oct 04, 2011","5.0","-1.2","6.3","-1.5","5.7","1.5","-1.8","10","20","10","20","8","5","7","2.4","12.2","-1.8","-0.1","-5.4","-2.9","6.4","-1.2","-3.1","-15.1","3.1","5.5","-1.7","-4.3","13.7","-2.1","-9.9","-1.0","-1.2","-3.6","0.4","10.9","-4.5","-8.9","-7.3","10.54 (Feb 02, 17)","9.52 (Aug 07, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"99.97",0,0.03,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","43.7","Sep-17","45.2","Jun-17","49.1","Mar-17","52.8","Dec-16","54.8","Sep-16","59.0","Jun-16","57.5","Mar-16","118.4","Dec-15","55.5","Sep-15","56.3","Jun-15","60.1","Mar-15","63.8","Dec-14","67.1","Sep-14","74.6","Jun-14","85.2","Mar-14","97.8","Dec-13","106.2","Sep-13","108.4","Jun-13","102.9","Mar-13","110.7","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Regular Income Fund - Direct Plan (G) ","ICICI Prudential Mutual Fund","MIP Conservative","Open-Ended","Growth","Dec-29-2017",1000,"N.A.","N.A.","N.A.","0.50%","","Jan 01, 2013","0.5","1.3","3.2","7.4","9.4","9.6","9.4","13","10","10","13","18","5","9","2.0","2.6","2.5","2.5","0.9","1.9","2.3","1.9","5.0","3.0","2.0","3.2","2.9","2.1","-3.4","1.2","2.3","2.2","4.9","2.4","7.6","11.1","10.2","15.3","3.2","17.97 (Jan 17, 18)","16.73 (Jan 18, 17)","IDBI Bank Ltd.","Prism Cement Ltd.","Parry Sugars Refinery India Private Ltd.","Indian Hospital Corporation Ltd.","Writers And Publishers Pvt. Ltd.","Adarsh Advisory Services Pvt. Ltd.","Pune Solapur Expressway Pvt. Ltd.","Suntrack Commerce Private Ltd.","Avenue Supermarts","Emami Frank Ross Ltd.","ICRA BBB-","ICRA A-","CRISIL AA-","BWR AA-","BWR AA-","BWR A","ICRA A","BWR AA-","CRISIL AA","BWR AA-","8.53","8.37","8.27","7.91","7.52","7.14","6.22","5.26","5.19","4.88","5.21","5.11","5.05","4.83","4.59","4.36","3.80","3.21","3.17","2.98",7.28,-7.11,87.57,"N.A",0,12.27,"24.79","42.31","5.69","Oil & Gas","Metals & Mining","Engineering","Banking/Finance","Technology","Tobacco","2.48","1.87","1.34","0.87","0.33","0.21","0.00","0.13","0.62","0.20","0.32","0.00","0.00","0.13","0.62","0.20","0.32","0.00","Dec-17","163.8","Sep-17","147.5","Jun-17","130.8","Mar-17","105.2","Dec-16","84.7","Sep-16","68.9","Jun-16","42.4","Mar-16","27.0","Dec-15","17.6","Sep-15","9.9","Jun-15","2.4","Mar-15","0.3","Dec-14","0.1","Sep-14","0.1","Jun-14","0.1","Mar-14","0.1","Dec-13","0.1","Sep-13","0.1","Jun-13","0.0","Mar-13","0.0","MODERATE","MODERATE","MODERATE"
"ICICI Prudential Regular Income Fund (G) ","ICICI Prudential Mutual Fund","MIP Conservative","Open-Ended","Growth","Dec-29-2017",1000,"N.A.","N.A.","N.A.","0.50%","","Apr 27, 2011","0.4","1.2","2.9","6.6","8.4","8.5","8.5","14","13","12","20","23","10","12","1.8","2.2","2.4","2.5","1.1","1.8","2.0","1.8","5.0","2.8","1.8","2.9","2.5","2.0","-3.6","1.1","2.0","1.8","4.7","2.2","6.8","9.8","9.1","14.9","2.8","17.26 (Jan 17, 18)","16.19 (Jan 18, 17)","IDBI Bank Ltd.","Prism Cement Ltd.","Parry Sugars Refinery India Private Ltd.","Indian Hospital Corporation Ltd.","Writers And Publishers Pvt. Ltd.","Adarsh Advisory Services Pvt. Ltd.","Pune Solapur Expressway Pvt. Ltd.","Suntrack Commerce Private Ltd.","Avenue Supermarts","Emami Frank Ross Ltd.","ICRA BBB-","ICRA A-","CRISIL AA-","BWR AA-","BWR AA-","BWR A","ICRA A","BWR AA-","CRISIL AA","BWR AA-","110.38","108.26","106.99","102.33","97.24","92.37","80.51","68.01","67.16","63.13","5.21","5.11","5.05","4.83","4.59","4.36","3.80","3.21","3.17","2.98",7.28,-7.11,87.57,"N.A",0,12.27,"24.79","42.31","5.69","Oil & Gas","Metals & Mining","Engineering","Banking/Finance","Technology","Tobacco","2.48","1.87","1.34","0.87","0.33","0.21","0.00","0.13","0.62","0.20","0.32","0.00","0.00","0.13","0.62","0.20","0.32","0.00","Dec-17","2,118.6","Sep-17","2,281.9","Jun-17","2,408.5","Mar-17","2,452.6","Dec-16","2,159.9","Sep-16","1,815.1","Jun-16","1,491.0","Mar-16","1,289.3","Dec-15","913.7","Sep-15","396.0","Jun-15","97.2","Mar-15","26.0","Dec-14","13.8","Sep-14","14.0","Jun-14","17.6","Mar-14","21.9","Dec-13","36.6","Sep-13","50.3","Jun-13","53.5","Mar-13","43.4","MODERATE","MODERATE","MODERATE"
"ICICI Prudential Regular Savings Fund - Direct Plan (G) ","ICICI Prudential Mutual Fund","Credit Opportunities Funds","Open-Ended","Growth","Dec-29-2017",10000,"N.A.","N.A.","N.A.","1.00%","","Jan 01, 2013","0.4","0.9","2.8","7.2","9.1","9.1","9.6","17","28","23","22","26","22","18","1.9","1.6","2.7","2.9","2.0","2.3","2.1","1.7","3.0","2.3","2.1","3.7","2.9","2.3","0.1","0.9","2.1","1.9","3.2","3.1","7.6","10.4","9.8","12.0","8.1","19.12 (Jan 17, 18)","17.82 (Feb 09, 17)","Welspun Renewables Energy Pvt Ltd.","Jay Properties Pvt. Ltd.","Aditya Birla Fashion and Retail Limited","Indian Hospital Corporation Ltd.","Essel Mining & Industries Ltd.","Kalpataru Properties (Thane) Pvt. Ltd.","Ardour Developers Pvt. Ltd.","IDBI Bank Ltd.","Vedanta Ltd.","Adarsh Advisory Services Pvt. Ltd.","CARE AA","BWR AA-","CRISIL AA","BWR AA-","CRISIL AA-","UNRATED","UNRATED","ICRA BBB-","CRISIL AA","BWR A","35.09","32.25","27.50","26.56","26.13","25.08","24.76","24.13","23.82","22.02","3.33","3.06","2.61","2.52","2.48","2.38","2.35","2.29","2.26","2.09",0,0,96.61,"N.A",0,3.36,"14.00","25.37","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","1,053.8","Sep-17","909.1","Jun-17","733.5","Mar-17","582.3","Dec-16","467.3","Sep-16","389.6","Jun-16","328.0","Mar-16","285.6","Dec-15","256.0","Sep-15","215.9","Jun-15","161.3","Mar-15","108.6","Dec-14","90.8","Sep-14","72.3","Jun-14","56.3","Mar-14","26.5","Dec-13","18.3","Sep-13","14.8","Jun-13","10.3","Mar-13","0.5","MODERATE","MODERATE","MODERATE"
"ICICI Prudential Regular Savings Fund (G) ","ICICI Prudential Mutual Fund","Credit Opportunities Funds","Open-Ended","Growth","Dec-29-2017",10000,"N.A.","N.A.","N.A.","1.00%","","Nov 29, 2010","0.3","0.7","2.4","6.3","8.1","8.2","8.7","28","42","39","40","52","44","35","1.6","1.3","2.6","2.6","2.1","2.0","1.9","1.5","2.7","2.1","1.9","3.5","2.7","2.1","-0.1","0.7","1.9","1.6","3.0","2.9","6.6","9.5","8.9","10.9","7.4","18.27 (Jan 17, 18)","17.17 (Feb 09, 17)","Welspun Renewables Energy Pvt Ltd.","Jay Properties Pvt. Ltd.","Aditya Birla Fashion and Retail Limited","Indian Hospital Corporation Ltd.","Essel Mining & Industries Ltd.","Kalpataru Properties (Thane) Pvt. Ltd.","Ardour Developers Pvt. Ltd.","IDBI Bank Ltd.","Vedanta Ltd.","Adarsh Advisory Services Pvt. Ltd.","CARE AA","BWR AA-","CRISIL AA","BWR AA-","CRISIL AA-","UNRATED","UNRATED","ICRA BBB-","CRISIL AA","BWR A","241.01","221.46","188.90","182.38","179.49","172.25","170.08","165.74","163.57","151.26","3.33","3.06","2.61","2.52","2.48","2.38","2.35","2.29","2.26","2.09",0,0,96.61,"N.A",0,3.36,"14.00","25.37","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","7,237.4","Sep-17","6,948.5","Jun-17","6,460.1","Mar-17","6,053.0","Dec-16","5,571.4","Sep-16","4,972.8","Jun-16","4,884.5","Mar-16","20,582.3","Dec-15","5,384.1","Sep-15","5,426.6","Jun-15","5,151.7","Mar-15","4,603.6","Dec-14","4,520.1","Sep-14","4,488.3","Jun-14","4,279.3","Mar-14","3,730.2","Dec-13","3,339.7","Sep-13","3,196.3","Jun-13","2,991.4","Mar-13","2,835.6","MODERATE","MODERATE","MODERATE"
"ICICI Prudential Savings Fund - Direct Plan (G) ","ICICI Prudential Mutual Fund","Ultra Short Term Debt","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","0.3","1.1","2.9","7.1","8.7","8.8","9.2","146","143","106","41","15","15","5","2.1","2.3","2.3","2.4","1.9","1.9","2.1","1.9","2.5","2.1","1.9","2.7","2.3","2.2","2.1","1.1","2.0","2.0","2.5","2.4","7.5","9.8","9.0","10.0","9.3","265.68 (Jan 17, 18)","248.13 (Jan 18, 17)","Bahadur Chand Investments Private Ltd.","Vodafone Mobile Services Ltd.^^","Vedanta Ltd.","Indiabulls Housing Finance Ltd.","Vodafone Mobile Services Ltd.^^","Talwandi Sabo Power Ltd.","Small Industries Development Bank Of India","Tata Capital Financial Services Ltd.","India Infoline Housing Finance Ltd.","Talwandi Sabo Power Ltd.","ICRA AA","FITCH AA+","CRISIL AA","CARE AAA","FITCH AA+","CRISIL AA","CARE AAA","ICRA AA+","ICRA AA","CRISIL AA","265.95","216.39","168.60","145.15","143.82","123.02","111.96","92.04","90.72","82.31","6.01","4.89","3.81","3.28","3.25","2.78","2.53","2.08","2.05","1.86",0,0,83.69,"N.A",9.85,6.43,"21.24","32.54","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","4,425.2","Sep-17","3,856.2","Jun-17","3,492.0","Mar-17","2,287.1","Dec-16","2,355.1","Sep-16","1,520.5","Jun-16","1,029.8","Mar-16","740.4","Dec-15","688.1","Sep-15","819.9","Jun-15","974.2","Mar-15","1,049.1","Dec-14","805.2","Sep-14","485.2","Jun-14","171.3","Mar-14","158.2","Dec-13","176.5","Sep-13","148.4","Jun-13","342.7","Mar-13","304.3","MODERATELY LOW","MODERATELY LOW","MODERATELY LOW"
"ICICI Prudential Savings Fund - Plan A (G) ","ICICI Prudential Mutual Fund","Ultra Short Term Debt","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Jul 30, 2004","0.2","0.8","2.3","6.0","7.6","7.6","8.1","169","167","169","145","101","131","120","1.9","2.1","2.1","2.1","1.8","1.7","1.9","1.6","2.2","2.0","1.6","2.5","1.9","1.9","1.9","0.8","1.8","1.7","2.3","2.1","6.4","8.8","7.8","8.9","8.5","256.81 (Jan 17, 18)","242.30 (Jan 18, 17)","Bahadur Chand Investments Private Ltd.","Vodafone Mobile Services Ltd.^^","Vedanta Ltd.","Indiabulls Housing Finance Ltd.","Vodafone Mobile Services Ltd.^^","Talwandi Sabo Power Ltd.","Small Industries Development Bank Of India","Tata Capital Financial Services Ltd.","India Infoline Housing Finance Ltd.","Talwandi Sabo Power Ltd.","ICRA AA","FITCH AA+","CRISIL AA","CARE AAA","FITCH AA+","CRISIL AA","CARE AAA","ICRA AA+","ICRA AA","CRISIL AA","1.35","1.09","0.85","0.73","0.73","0.62","0.57","0.47","0.46","0.42","6.01","4.89","3.81","3.28","3.25","2.78","2.53","2.08","2.05","1.86",0,0,83.69,"N.A",9.85,6.43,"21.24","32.54","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","22.4","Sep-17","22.5","Jun-17","22.7","Mar-17","22.6","Dec-16","22.4","Sep-16","22.2","Jun-16","21.9","Mar-16","21.8","Dec-15","22.8","Sep-15","23.8","Jun-15","24.4","Mar-15","25.1","Dec-14","25.4","Sep-14","25.8","Jun-14","29.2","Mar-14","32.4","Dec-13","34.1","Sep-13","37.0","Jun-13","42.7","Mar-13","56.5","MODERATELY LOW","MODERATELY LOW","MODERATELY LOW"
"ICICI Prudential Savings Fund - Plan B (G) ","ICICI Prudential Mutual Fund","Ultra Short Term Debt","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Mar 28, 2003","0.2","0.8","2.3","6.0","7.6","7.6","8.1","169","167","169","145","101","131","120","1.9","2.1","2.1","2.1","1.8","1.7","1.9","1.6","2.2","2.0","1.6","2.5","1.9","1.9","1.9","0.8","1.8","1.7","2.3","2.1","6.4","8.8","7.8","8.9","8.5","277.29 (Jan 17, 18)","261.63 (Jan 18, 17)","Bahadur Chand Investments Private Ltd.","Vodafone Mobile Services Ltd.^^","Vedanta Ltd.","Indiabulls Housing Finance Ltd.","Vodafone Mobile Services Ltd.^^","Talwandi Sabo Power Ltd.","Small Industries Development Bank Of India","Tata Capital Financial Services Ltd.","India Infoline Housing Finance Ltd.","Talwandi Sabo Power Ltd.","ICRA AA","FITCH AA+","CRISIL AA","CARE AAA","FITCH AA+","CRISIL AA","CARE AAA","ICRA AA+","ICRA AA","CRISIL AA","0.37","0.30","0.23","0.20","0.20","0.17","0.15","0.13","0.13","0.11","6.01","4.89","3.81","3.28","3.25","2.78","2.53","2.08","2.05","1.86",0,0,83.69,"N.A",9.85,6.43,"21.24","32.54","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","6.1","Sep-17","6.2","Jun-17","6.3","Mar-17","6.3","Dec-16","6.5","Sep-16","6.6","Jun-16","7.1","Mar-16","7.2","Dec-15","7.2","Sep-15","7.3","Jun-15","7.7","Mar-15","8.1","Dec-14","8.5","Sep-14","9.1","Jun-14","11.0","Mar-14","12.4","Dec-13","13.7","Sep-13","16.1","Jun-13","18.9","Mar-13","24.1","MODERATELY LOW","MODERATELY LOW","MODERATELY LOW"
"ICICI Prudential Savings Fund - Plan C (G) ","ICICI Prudential Mutual Fund","Ultra Short Term Debt","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Jul 30, 2004","0.6","1.9","4.0","8.5","8.6","8.7","8.4","7","8","10","11","18","20","82","2.1","2.1","1.9","2.1","1.9","1.3","2.2","2.0","2.3","1.9","-","1.9","1.9","2.1","1.9","-","2.3","2.1","2.0","2.1","3.6","8.9","8.6","9.2","8.3","218.16 (Jun 15, 15)","218.16 (Jun 15, 15)","Government Securities","Tata Motors Finance Solutions Pvt Ltd.","NABHA Power Ltd.","Reliance Gas Transporation Infrastructure Ltd.","Indiabulls Housing Finance Ltd.","Power Finance Corporation Ltd.","Government Securities","Adani Ports and Special Economic Zone Ltd.","Coffee Day Enterprises Pvt. Ltd.","Tata Capital Financial Services Ltd.","SOV","CRISIL AA","CRISIL AAA","CRISIL AAA","CARE AAA","CRISIL AAA","SOV","ICRA AA-","BWR A+","CRISIL AA+","0.38","0.19","0.15","0.13","0.11","0.09","0.09","0.08","0.08","0.08","13.89","6.83","5.48","4.83","3.87","3.38","3.29","3.03","2.76","2.74",0,0,72.02,"N.A",27.04,0.94,"34.90","50.10","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Jun-15","2.7","Mar-15","3.0","Dec-14","3.0","Sep-14","2.9","Jun-14","4.7","Mar-14","5.1","Dec-13","5.1","Sep-13","6.0","Jun-13","8.2","Mar-13","9.2","MODERATELY LOW","MODERATELY LOW","MODERATELY LOW"
"ICICI Prudential Savings Fund (G) ","ICICI Prudential Mutual Fund","Ultra Short Term Debt","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Nov 17, 2005","0.3","0.9","2.5","6.2","7.8","7.8","8.4","164","164","162","134","87","108","82","1.9","2.1","2.1","2.2","2.0","1.7","1.9","1.7","2.3","2.1","1.7","2.5","2.1","2.0","2.1","0.9","1.8","1.7","2.3","2.3","6.6","8.8","8.0","9.2","9.2","256.32 (Jan 17, 18)","241.39 (Jan 18, 17)","Bahadur Chand Investments Private Ltd.","Vodafone Mobile Services Ltd.^^","Vedanta Ltd.","Indiabulls Housing Finance Ltd.","Vodafone Mobile Services Ltd.^^","Talwandi Sabo Power Ltd.","Small Industries Development Bank Of India","Tata Capital Financial Services Ltd.","India Infoline Housing Finance Ltd.","Talwandi Sabo Power Ltd.","ICRA AA","FITCH AA+","CRISIL AA","CARE AAA","FITCH AA+","CRISIL AA","CARE AAA","ICRA AA+","ICRA AA","CRISIL AA","403.15","328.02","255.57","220.02","218.01","186.48","169.71","139.52","137.51","124.77","6.01","4.89","3.81","3.28","3.25","2.78","2.53","2.08","2.05","1.86",0,0,83.69,"N.A",9.85,6.43,"21.24","32.54","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","6,707.9","Sep-17","6,888.1","Jun-17","6,267.9","Mar-17","5,387.7","Dec-16","5,347.5","Sep-16","5,090.5","Jun-16","3,919.9","Mar-16","2,796.1","Dec-15","2,818.5","Sep-15","2,795.2","Jun-15","2,646.6","Mar-15","2,525.8","Dec-14","2,228.6","Sep-14","1,707.4","Jun-14","1,256.7","Mar-14","808.5","Dec-13","608.0","Sep-13","634.2","Jun-13","808.6","Mar-13","1,097.7","MODERATELY LOW","MODERATELY LOW","MODERATELY LOW"
"ICICI Prudential Select Large Cap Fund - Direct Plan (G) ","ICICI Prudential Mutual Fund","Large Cap","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","1.00%","BSE 100","Jan 01, 2013","2.1","7.0","9.5","22.0","24.2","9.7","15.3","69","48","55","126","50","90","70","9.4","-2.0","2.1","6.8","-7.2","0.9","10.2","-3.6","15.4","1.0","1.3","6.3","-5.4","7.1","0.1","10.3","-5.3","1.3","5.9","12.2","24.5","11.4","-4.1","40.7","7.8","31.60 (Jan 09, 18)","25.64 (Jan 20, 17)","Sun Pharma","M&M","Larsen","ITC","NTPC","GAIL","Infosys","IOC","Bharti Airtel","Power Grid Corp","Pharmaceuticals","Automotive","Engineering","Tobacco","Utilities","Oil & Gas","Technology","Oil & Gas","Telecom","Utilities","7.28","6.80","6.50","5.24","5.14","4.95","4.64","4.44","4.38","3.66","11.30","10.56","10.09","8.14","7.98","7.68","7.21","6.89","6.80","5.69",91.86,0,0,"N.A",0,8.15,"48.07","82.34","41.63","Oil & Gas","Utilities","Pharmaceuticals","Technology","Automotive","Engineering","14.57","13.67","13.39","12.77","10.56","10.09","5.93","5.37","13.80","19.45","13.79","9.25","5.93","5.37","13.80","19.45","13.79","9.25","Dec-17","64.4","Sep-17","65.1","Jun-17","67.5","Mar-17","67.5","Dec-16","61.9","Sep-16","63.9","Jun-16","46.8","Mar-16","39.2","Dec-15","40.8","Sep-15","32.9","Jun-15","27.3","Mar-15","21.4","Dec-14","6.4","Sep-14","1.4","Jun-14","0.2","Mar-14","0.1","Dec-13","0.1","Sep-13","0.1","Jun-13","0.1","Mar-13","0.0","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
